Designator,Mid X,Mid Y,Layer,Rotation
C1,198.374990mm,-130.567510mm,Top,180
C2,211.574990mm,-127.717510mm,Top,0
C3,198.974990mm,-129.517510mm,Top,180
C4,202.224990mm,-134.667510mm,Top,270
C5,206.675000mm,-121.705000mm,Top,90
C6,205.668657mm,-134.192510mm,Top,180
C7,211.574990mm,-128.747510mm,Top,0
C8,202.124990mm,-124.067510mm,Top,90
C9,201.074990mm,-124.067510mm,Top,90
C10,199.474990mm,-125.267510mm,Top,180
C13,198.974990mm,-126.317510mm,Top,180
C15,192.074990mm,-124.917510mm,Top,270
C16,196.874990mm,-124.917510mm,Top,270
C17,191.924990mm,-138.667510mm,Top,180
C18,212.874990mm,-131.267510mm,Top,90
C19,215.524990mm,-128.067510mm,Top,0
R3,198.974990mm,-128.467510mm,Top,0
R4,198.974990mm,-127.387510mm,Top,0
R5,197.774990mm,-138.717510mm,Top,0
R6,231.850000mm,-137.875000mm,Top,0
R7,212.424990mm,-129.767510mm,Top,180
SW1,240.350000mm,-131.500000mm,Top,90
SW2,248.500000mm,-131.500000mm,Top,270
U3,205.674990mm,-129.317510mm,Top,90
U4,194.474990mm,-125.417510mm,Top,180
U5,196.024990mm,-135.167510mm,Top,90
Y1,215.524990mm,-130.417510mm,Top,0
